"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","OATS - ACRES HARVESTED  -  <b>VALUE</b>","OATS - ACRES HARVESTED  -  <b>CV (%)</b>","OATS - ACRES PLANTED  -  <b>VALUE</b>","OATS - ACRES PLANTED  -  <b>CV (%)</b>","OATS - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","OATS - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","OATS - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","OATS - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","CLARE","035","","","00000000","","OATS","TOTAL","NOT SPECIFIED","290","36.8","1,000","0.8","18,300","41.2","63.1","16.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","GRATIOT","057","","","00000000","","OATS","TOTAL","NOT SPECIFIED","220","21.6","500","4.5","10,600","29.5","48.2","19.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","ISABELLA","073","","","00000000","","OATS","TOTAL","NOT SPECIFIED","740","38.1","2,200","12","48,000","40.1","64.9","12.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MECOSTA","107","","","00000000","","OATS","TOTAL","NOT SPECIFIED","660","17.6","1,400","0.7","35,600","18.3","53.9","4.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MONTCALM","117","","","00000000","","OATS","TOTAL","NOT SPECIFIED","630","35.5","1,900","4.2","32,400","36.1","51.4","5.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","OSCEOLA","133","","","00000000","","OATS","TOTAL","NOT SPECIFIED","330","23.5","800","0.8","15,600","26.5","47.3","11.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","HURON","063","","","00000000","","OATS","TOTAL","NOT SPECIFIED","670","29.8","1,800","1.4","67,000","29.7","100","4.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SAGINAW","145","","","00000000","","OATS","TOTAL","NOT SPECIFIED","310","20.4","700","0.8","23,300","23.8","75.2","12.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SANILAC","151","","","00000000","","OATS","TOTAL","NOT SPECIFIED","730","35.9","2,300","3.6","67,700","37.2","92.7","11.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","PRESQUE ISLE","141","","","00000000","","OATS","TOTAL","NOT SPECIFIED","440","50.8","2,100","1.1","30,900","50.9","70.2","3.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","CHARLEVOIX","029","","","00000000","","OATS","TOTAL","NOT SPECIFIED","180","30.1","500","0.8","8,700","36","48.3","19.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","EMMET","047","","","00000000","","OATS","TOTAL","NOT SPECIFIED","230","15.1","400","1.2","10,300","24.1","44.8","18.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","GRAND TRAVERSE","055","","","00000000","","OATS","TOTAL","NOT SPECIFIED","780","18.8","1,700","0.8","36,000","25.1","46.2","16.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","LEELANAU","089","","","00000000","","OATS","TOTAL","NOT SPECIFIED","200","16.3","400","0.9","10,100","24.2","50.5","17.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","CLINTON","037","","","00000000","","OATS","TOTAL","NOT SPECIFIED","150","55.8","800","0.9","13,300","59.2","88.7","4.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","EATON","045","","","00000000","","OATS","TOTAL","NOT SPECIFIED","100","44.3","400","1.2","6,500","44.5","65","7.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","IONIA","067","","","00000000","","OATS","TOTAL","NOT SPECIFIED","490","20.4","1,100","0.9","33,100","21.9","67.6","7.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","JACKSON","075","","","00000000","","OATS","TOTAL","NOT SPECIFIED","220","21.5","500","1.4","15,400","22.9","70","7.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","LAPEER","087","","","00000000","","OATS","TOTAL","NOT SPECIFIED","210","43.9","700","0.9","16,600","45.6","79","11.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","KENT","081","","","00000000","","OATS","TOTAL","NOT SPECIFIED","430","25.1","1,000","0.8","21,500","27","50","9.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","OTTAWA","139","","","00000000","","OATS","TOTAL","NOT SPECIFIED","100","10.4","300","0.7","5,800","13.9","58","9.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","UPPER PENINSULA","10","CHIPPEWA","033","","","00000000","","OATS","TOTAL","NOT SPECIFIED","630","22.5","1,400","0.8","32,100","26.1","51","12.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","UPPER PENINSULA","10","DELTA","041","","","00000000","","OATS","TOTAL","NOT SPECIFIED","720","17","1,500","0.7","52,100","18.4","72.4","6.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","UPPER PENINSULA","10","DICKINSON","043","","","00000000","","OATS","TOTAL","NOT SPECIFIED","380","22.7","900","0.8","20,500","30.5","53.9","19.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","MASON","105","","","00000000","","OATS","TOTAL","NOT SPECIFIED","730","16.9","1,500","0.7","48,300","20.3","66.2","11"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","MUSKEGON","121","","","00000000","","OATS","TOTAL","NOT SPECIFIED","140","31.3","400","0.8","9,400","33","67.1","9.1"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","NEWAYGO","123","","","00000000","","OATS","TOTAL","NOT SPECIFIED","370","23.3","900","0.9","25,800","29.7","69.7","18.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","OCEANA","127","","","00000000","","OATS","TOTAL","NOT SPECIFIED","390","16.7","800","0.9","32,200","20.5","82.6","11.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","","99","OTHER COUNTIES","","","","00000000","","OATS","TOTAL","NOT SPECIFIED","8,530","4.8","25,100","0.7","512,900","5.7","60.1","2.6"
"SURVEY","2021","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","OATS","TOTAL","NOT SPECIFIED","20,000","","55,000","","1,260,000","","63",""
