"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","SOYBEANS - ACRES HARVESTED  -  <b>VALUE</b>","SOYBEANS - ACRES HARVESTED  -  <b>CV (%)</b>","SOYBEANS - ACRES PLANTED  -  <b>VALUE</b>","SOYBEANS - ACRES PLANTED  -  <b>CV (%)</b>","SOYBEANS - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","SOYBEANS - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","GRATIOT","057","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","85,200","1.1","85,500","0.5","4,303,000","3.4","50.5","3.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","ISABELLA","073","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","58,000","1.1","58,300","0.4","2,923,000","6.5","50.4","6.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MIDLAND","111","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","25,900","1","26,000","0.4","1,274,000","4.6","49.2","4.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","CENTRAL","50","MONTCALM","117","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","28,100","1.1","28,200","0.4","1,425,000","4.9","50.7","4.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","ARENAC","011","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","19,100","0.9","19,400","0.4","919,000","4.2","48.1","4.1"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","BAY","017","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","53,300","1","53,500","0.3","2,745,000","4.3","51.5","4.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","HURON","063","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","56,400","0.9","56,900","0.3","3,226,000","3.5","57.2","3.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SAGINAW","145","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","115,100","1.3","115,500","0.9","5,755,000","2.7","50","2.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","SANILAC","151","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","127,200","1","127,500","0.5","7,033,000","2.4","55.3","2.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","EAST CENTRAL","60","TUSCOLA","157","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","68,400","1.1","68,600","0.6","3,899,000","3.4","57","3.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","ALCONA","001","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","1,990","1.6","2,000","1.2","94,600","6.6","47.5","6.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","ALPENA","007","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","11,400","1.1","11,400","0.5","485,000","5.5","42.5","5.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","IOSCO","069","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","3,990","1.2","4,000","0.6","228,000","2.9","57.1","2.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","MONTMORENCY","119","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","3,500","1.2","3,500","0.7","169,000","9.7","48.3","9.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","OGEMAW","129","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","5,800","1.1","5,800","0.5","265,000","7.1","45.7","7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","OTSEGO","137","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","1,000","2.8","1,000","2.6","45,800","3.8","45.8","2.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHEAST","30","PRESQUE ISLE","141","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","9,050","0.9","9,200","0.4","334,000","6.3","36.9","6.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","NORTHWEST","20","GRAND TRAVERSE","055","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","1,200","1.9","1,200","1.7","49,100","8","40.9","7.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","BARRY","015","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","31,500","1.6","31,600","1.3","1,603,000","5.5","50.9","5.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","CALHOUN","025","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","75,000","1","75,300","0.4","3,450,000","4.2","46","4.1"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","CLINTON","037","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","67,700","1.1","67,900","0.4","3,764,000","5.5","55.6","5.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","EATON","045","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","76,000","0.9","76,600","0.4","4,150,000","2.1","54.6","1.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","HILLSDALE","059","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","79,100","1.3","79,400","0.8","3,947,000","2.9","49.9","2.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","INGHAM","065","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","56,600","1.1","56,800","0.4","2,983,000","3.5","52.7","3.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","IONIA","067","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","61,500","1.1","61,700","0.4","3,475,000","4.4","56.5","4.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","JACKSON","075","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","44,000","1.3","44,200","0.9","2,160,000","2.6","49.1","2.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTH CENTRAL","80","SHIAWASSEE","155","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","89,300","1.6","89,600","1.3","4,545,000","4.1","50.9","3.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","GENESEE","049","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","41,300","1.5","41,500","1.2","1,792,000","4.6","43.4","4.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","LAPEER","087","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","45,800","1","46,000","0.3","2,148,000","4.4","46.9","4.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","LENAWEE","091","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","125,500","1.2","126,000","0.6","6,375,000","2.7","50.8","2.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","LIVINGSTON","093","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","19,900","1.1","20,000","0.4","1,001,000","4.7","50.3","4.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","MACOMB","099","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","25,200","1","25,400","0.4","1,134,000","2.8","45","2.6"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","MONROE","115","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","82,200","1.1","82,500","0.4","4,258,000","2.9","51.8","2.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","OAKLAND","125","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","3,090","2.2","3,100","1.9","139,000","9.8","45","9.5"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","ST CLAIR","147","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","64,900","1","65,000","0.3","2,843,000","5.2","43.8","5.1"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","WASHTENAW","161","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","46,500","1.1","46,700","0.3","2,455,000","3","52.8","2.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","WAYNE","163","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","3,470","1.9","3,500","1.6","148,000","9.8","42.7","9.7"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","BERRIEN","021","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","44,800","1.7","45,000","1.3","2,271,000","3.8","50.7","3.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","CASS","027","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","48,200","1.5","48,400","1.1","2,656,000","4.2","55.1","4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","KALAMAZOO","077","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","30,600","3.7","30,700","3.5","1,625,000","7.5","53.1","6.4"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","KENT","081","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","23,200","6.9","23,300","6.8","1,376,000","7.2","59.3","2.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","OTTAWA","139","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","21,400","8","21,500","7.9","1,010,000","8.7","47.2","3.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","VAN BUREN","159","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","26,200","2.7","26,300","2.5","1,349,000","5.8","51.5","5.2"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","MASON","105","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","6,600","1.2","6,600","0.5","316,000","6.1","47.9","5.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","MUSKEGON","121","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","7,080","1.2","7,100","0.7","312,000","11.9","44.1","11.9"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","NEWAYGO","123","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","5,270","1.3","5,300","0.9","247,000","8.8","46.9","8.8"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","WEST CENTRAL","40","OCEANA","127","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","4,650","1.4","4,700","1.1","226,000","6.4","48.6","6.3"
"SURVEY","2021","YEAR","","COUNTY","MICHIGAN","26","","99","OTHER COUNTIES","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","208,810","0.5","210,800","0.2","10,209,500","2.7","48.9","2.6"
"SURVEY","2021","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","TOTAL","NOT SPECIFIED","2,140,000","","2,150,000","","109,140,000","","51",""
